City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
151,tommot,RU,2/25/2022 4:17,58.9564,126.2925,20.07,88,100,10.96,light snow,0,0
152,exeter,GB,2/25/2022 4:17,50.7236,-3.5275,44.51,84,8,14.2,clear sky,0,0
153,ragonvalia,CO,2/25/2022 4:17,7.5775,-72.4757,61.43,95,97,1.36,overcast clouds,0,0
154,padang,ID,2/25/2022 4:17,-0.9492,100.3543,86.05,63,87,4.72,moderate rain,0,0
155,vila velha,BR,2/25/2022 4:17,-20.3297,-40.2925,76.95,88,20,4.61,few clouds,0,0
156,nichinan,JP,2/25/2022 4:17,31.6,131.3667,54.55,38,0,0.29,clear sky,0,0
157,saint george,US,2/25/2022 4:16,37.1041,-113.5841,38.62,56,0,4.61,clear sky,0,0
158,amapa,BR,2/25/2022 4:17,1,-52,70.81,99,45,2.21,scattered clouds,0,0
159,shchebetovka,UA,2/25/2022 4:17,44.9333,35.15,40.3,95,100,15.46,overcast clouds,0,0
160,youghal,IE,2/25/2022 4:17,51.95,-7.8506,38.43,98,44,9.69,scattered clouds,0,0
161,mount isa,AU,2/25/2022 4:17,-20.7333,139.5,100.17,18,40,8.05,scattered clouds,0,0
162,katherine,AU,2/25/2022 4:17,-14.4667,132.2667,93.52,43,40,12.66,scattered clouds,0,0
163,taoudenni,ML,2/25/2022 4:17,22.6783,-3.9836,76.6,13,98,13.62,overcast clouds,0,0
164,new norfolk,AU,2/25/2022 4:17,-42.7826,147.0587,68.67,33,61,4.41,broken clouds,0,0
165,norman wells,CA,2/25/2022 4:17,65.282,-126.8329,12.24,85,75,0,broken clouds,0,0
166,kimbe,PG,2/25/2022 4:17,-5.5502,150.1429,81.99,83,97,5.5,moderate rain,0,0
167,dunmore town,BS,2/25/2022 4:17,25.5,-76.65,73.98,68,56,18.12,broken clouds,0,0
168,diamantino,BR,2/25/2022 4:17,-14.4086,-56.4461,72.21,95,58,3.98,broken clouds,0,0
169,lukovetskiy,RU,2/25/2022 4:17,64.2956,41.9211,33.78,96,100,10.89,overcast clouds,0,0
170,laguna de perlas,NI,2/25/2022 4:17,12.3429,-83.6712,75.29,86,15,9.26,few clouds,0,0
171,minsk,BY,2/25/2022 4:17,53.9,27.5667,31.75,82,100,18.01,overcast clouds,0,0
172,olafsvik,IS,2/25/2022 4:17,64.8945,-23.7142,30.31,75,91,21.83,overcast clouds,0,0
173,douentza,ML,2/25/2022 4:17,14.9951,-2.9517,73.71,10,0,4.23,clear sky,0,0
174,whitehorse,CA,2/25/2022 4:15,60.7161,-135.0538,23.77,74,40,17.27,scattered clouds,0,0
175,shingu,JP,2/25/2022 4:17,33.7333,135.9833,50.99,31,0,1.61,clear sky,0,0
176,lujan,AR,2/25/2022 4:17,-34.5703,-59.105,66.94,96,0,1.01,clear sky,0,0
177,deputatskiy,RU,2/25/2022 4:17,69.3,139.9,0.1,80,100,3.4,overcast clouds,0,0
